iter	Passed	Remaining
887	1203	151
888	1204	150
889	1205	148
890	1205	147
891	1206	146
892	1206	144
893	1207	143
894	1208	141
895	1208	140
896	1209	138
897	1209	137
898	1210	136
899	1211	134
900	1211	133
901	1212	131
902	1213	130
903	1213	128
904	1214	127
905	1215	126
906	1215	124
907	1216	123
908	1217	121
909	1218	120
910	1219	119
911	1219	117
912	1220	116
913	1221	114
914	1221	113
915	1222	112
916	1222	110
917	1223	109
918	1223	107
919	1224	106
920	1224	105
921	1225	103
922	1226	102
923	1226	100
924	1227	99
925	1227	98
926	1228	96
927	1228	95
928	1229	93
929	1229	92
930	1230	91
931	1231	89
932	1232	88
933	1232	87
934	1233	85
935	1234	84
936	1235	83
937	1235	81
938	1236	80
939	1237	78
940	1238	77
941	1238	76
942	1239	74
943	1240	73
944	1241	72
945	1242	70
946	1242	69
947	1243	68
948	1244	66
949	1245	65
950	1246	64
951	1246	62
952	1247	61
953	1248	60
954	1249	58
955	1250	57
956	1251	56
957	1251	54
958	1252	53
959	1253	52
960	1254	50
961	1254	49
962	1255	48
963	1256	46
964	1256	45
965	1257	44
966	1258	42
967	1258	41
968	1259	40
969	1260	38
970	1260	37
971	1261	36
972	1262	35
973	1263	33
974	1263	32
975	1264	31
976	1265	29
977	1265	28
978	1266	27
979	1266	25
980	1267	24
981	1268	23
982	1268	21
983	1269	20
984	1269	19
985	1270	18
986	1270	16
987	1271	15
988	1271	14
989	1272	12
990	1272	11
991	1273	10
992	1274	8
993	1274	7
994	1275	6
995	1276	5
996	1277	3
997	1277	2
998	1278	1
999	1279	0
